"","speciesKey","species","endem_class","perc_zt","n","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","synonym","class","label"
"1",3086651,"Paracalia jungioides","[0.99,1]",1,3,3086651,"Paracalia jungioides (Hook. & Arn.) Cuatrec.","Paracalia jungioides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Paracalia",6,7707728,220,414,3065,3086649,FALSE,"Magnoliopsida","Paracalia_jungioides"
"2",3086681,"Oyedaea verbesinoides","[0.05,0.1)",0.0520231213872832,173,3086681,"Oyedaea verbesinoides DC.","Oyedaea verbesinoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Oyedaea",6,7707728,220,414,3065,3086656,FALSE,"Magnoliopsida","Oyedaea_verbesinoides"
"3",3086704,"Pseudoconyza viscosa","[0,0.05)",0,1047,3086704,"Pseudoconyza viscosa (Mill.) D' Arcy","Pseudoconyza viscosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Pseudoconyza",6,7707728,220,414,3065,6444103,FALSE,"Magnoliopsida","Pseudoconyza_viscosa"
"4",3086784,"Parthenium hysterophorus","[0,0.05)",0.014500022798778,21931,3086784,"Parthenium hysterophorus L.","Parthenium hysterophorus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Parthenium",6,7707728,220,414,3065,3086782,FALSE,"Magnoliopsida","Parthenium_hysterophorus"
"5",3086845,"Flaveria trinervia","[0,0.05)",0.000985221674876847,2030,3086845,"Flaveria trinervia (Spreng.) C.Mohr","Flaveria trinervia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Flaveria",6,7707728,220,414,3065,3086826,FALSE,"Magnoliopsida","Flaveria_trinervia"
"6",3086861,"Flaveria bidentis","[0.1,0.5)",0.230040595399188,739,3086861,"Flaveria bidentis (L.) Kuntze","Flaveria bidentis","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Flaveria",6,7707728,220,414,3065,3086826,FALSE,"Magnoliopsida","Flaveria_bidentis"
"7",3087088,"Scrobicaria ilicifolia","[0.99,1]",1,108,3087088,"Scrobicaria ilicifolia (L.fil.) B.Nord.","Scrobicaria ilicifolia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Scrobicaria",6,7707728,220,414,3065,3087085,FALSE,"Magnoliopsida","Scrobicaria_ilicifolia"
"8",3087143,"Berroa gnaphalioides","[0.1,0.5)",0.125,48,3087143,"Berroa gnaphalioides (Less.) Beauverd","Berroa gnaphalioides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Berroa",6,7707728,220,414,3065,3087142,FALSE,"Magnoliopsida","Berroa_gnaphalioides"
"9",3087264,"Fulcaldea laurifolia","[0.5,0.99)",0.645161290322581,31,3087264,"Fulcaldea laurifolia (Bonpl.) Poir.","Fulcaldea laurifolia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Fulcaldea",6,7707728,220,414,3065,3087263,FALSE,"Magnoliopsida","Fulcaldea_laurifolia"
"10",3087704,"Chromolaena maximiliani","[0,0.05)",0,416,3087704,"Chromolaena maximiliani (Schrad. ex DC.) R.M.King & H.Rob.","Chromolaena maximiliani","SPECIES","ACCEPTED",97,"FUZZY","Plantae","Tracheophyta","Asterales","Asteraceae","Chromolaena",6,7707728,220,414,3065,7824453,FALSE,"Magnoliopsida","Chromolaena_maximilianii"
"11",3087725,"Chromolaena odorata","[0,0.05)",0.00410671721087849,34821,3087725,"Chromolaena odorata (L.) R.M.King & H.Rob.","Chromolaena odorata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chromolaena",6,7707728,220,414,3065,7824453,FALSE,"Magnoliopsida","Chromolaena_odorata"
"12",3087776,"Chromolaena collina","[0,0.05)",0,907,3087776,"Chromolaena collina (DC.) R.M.King & H.Rob.","Chromolaena collina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chromolaena",6,7707728,220,414,3065,7824453,FALSE,"Magnoliopsida","Chromolaena_collina"
"13",3087956,"Chromolaena squalida","[0,0.05)",0.0144546649145861,761,3087956,"Chromolaena squalida (DC.) R.M.King & H.Rob.","Chromolaena squalida","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chromolaena",6,7707728,220,414,3065,7824453,FALSE,"Magnoliopsida","Chromolaena_squalida"
